County_name,State,Region_num,Location,Square_miles,Population,Pop_Size_Group,Pct_Age18_to_34,Pct_65_or_over,Num_physicians,Num_hospital_beds,Num_serious_crimes,Pct_High_Sch_grads,Pct_Bachelors,Pct_below_poverty,Pct_unemployed,Per_cap_income,Total_personal_income
Middlesex,MA,1,East,824,1398468,Large,31.7,12.5,5158,4152,35825,84.3,35.4,4.2,7.3,25312,35398
Allegheny,PA,1,East,730,1336449,Large,26.2,17.4,5281,8436,50186,79,22.6,8.7,5.3,20681,27639
Suffolk,NY,1,East,911,1321864,Large,27.9,10.8,3021,3904,66723,82.2,23,3.3,7,24262,32071
Nassau,NY,1,East,287,1287348,Large,25.7,14.2,6147,5200,43203,84.2,30,2.5,5.1,31679,40782
Alameda,CA,4,West,738,1279182,Large,30.8,10.6,3169,3284,107338,81.4,28.8,8.1,5.3,22148,28331
Broward,FL,3,East,1209,1255488,Large,25.3,20.7,2456,5543,107386,76.8,18.8,7.1,7.4,22355,28066
Bexar,TX,3,West,1247,1185394,Large,29.5,9.9,3062,4086,133098,72.7,19.7,16.2,6.7,15508,18383
Riverside,CA,4,West,7208,1170413,Large,27.9,13.2,1385,2435,95494,74.1,14.6,8.4,10.7,17185,20114
Tarrant,TX,3,West,864,1170103,Large,32.2,8.3,1677,3672,132495,79.9,24,8.2,6.6,18825,22027
Oakland,MI,2,East,873,1083592,Large,27.6,10.9,4020,3254,50964,84.6,30.2,4.4,7.3,26884,29131
Sacramento,CA,4,West,966,1041219,Large,29.7,10.6,2464,2855,84305,82.2,23,9.8,6.3,18934,19714
Hennepin,MN,2,East,557,1032431,Large,31.6,11.3,3706,5395,71753,88.2,31.6,6.4,4.3,23705,24474
St._Louis,MO,2,West,508,993529,Large,26.1,13.1,1194,1056,42595,82.3,29.2,4,5.1,24219,24062
Erie,NY,1,East,1045,968532,Large,27.3,15.2,2748,4632,55306,76.4,20,9.4,6.8,18305,17729
Franklin,OH,2,East,540,961437,Large,33.5,9.6,2675,4011,82680,81,26.6,9.1,4.2,19040,18306
Milwaukee,WI,2,East,242,959275,Large,29.3,13.6,2774,4141,73681,76.3,19.3,12.6,4.9,18431,17680
Westchester,NY,1,East,433,874866,Large,26.3,14.4,4577,3540,37118,81,35.3,4.7,5.4,33330,29159
Hamilton,OH,2,East,407,866228,Large,28,13.3,3164,4683,57208,75.6,23.7,10.3,4.5,20580,17827
Palm_Beach,FL,3,East,1974,863518,Large,23.3,24.4,1833,3164,76142,78.8,22.1,6.2,8.4,26798,23141
Hartford,CT,1,East,736,851783,Large,28.3,14.1,2851,2940,51926,77.7,25.8,6,6.9,24875,21188
Pinellas,FL,3,East,280,851659,Large,22.4,26,1620,4458,62344,78.1,18.5,6.2,6.2,21610,18404
Honolulu,HI,4,West,600,836231,Large,30.6,11,2025,2174,51032,81.2,24.6,5.4,2.3,21307,17818
Hillsborough,FL,3,East,1051,834054,Large,29.4,12.2,2012,3068,89895,75.6,20.2,9.5,6,16876,14075
Fairfield,CT,1,East,626,827645,Large,26.7,13.3,2417,2494,44374,81,34.2,4.5,5.9,32342,26768
Shelby,TN,3,East,755,826330,Large,29.4,10.4,2489,4918,67032,75.1,20.8,14.7,5.4,18430,15229
Bergen,NJ,1,East,234,825380,Large,25.4,15.3,3226,2279,28521,81.6,31.7,2.7,5.2,32230,26602
Fairfax_County,VA,3,East,396,818584,Large,29.2,6.5,1694,135,30202,91.4,49,2.2,3.2,28999,23738
New_Haven,CT,1,East,606,804219,Large,28.7,14.7,3161,2486,52903,77.5,24.2,6,7.3,22197,17851
Contra_Costa,CA,4,West,720,803732,Large,26.5,10.9,1761,1781,51243,86.5,31.6,5.5,5.6,25523,20514
Marion,IN,2,East,396,797159,Large,30.6,11.7,2936,4654,61004,76.8,21.4,9.3,5,19148,15264
DuPage,IL,2,East,334,781666,Large,29,8.7,2157,1842,29708,88.6,36,1.7,4.8,26772,20927
Essex,NJ,1,East,126,778206,Large,28.6,12.7,2811,4841,75595,70.1,24,11.3,7.9,24523,19084
Montgomery,MD,3,East,495,757027,Large,28.6,10.2,4635,1507,34754,90.6,49.9,2.7,3.3,30081,22772
Clark,NV,4,West,7911,741459,Large,29,10.5,969,2011,52786,77.3,13.8,7.5,5.8,18625,13810
Baltimore_City,MD,3,East,81,736014,Large,30,13.7,5444,6203,87355,60.7,15.5,17.8,9.4,17263,12706
Prince_George's,MD,3,East,486,729268,Large,33.7,6.9,1253,1322,54469,83.2,25.5,3.7,5,19568,14270
Salt_Lake,UT,4,West,737,725956,Large,27.8,8.5,2094,2076,58610,85.3,23.8,7.7,4.5,15399,11179
San_Francisco,CA,4,West,47,723959,Large,32.2,14.5,4761,3640,71234,78,35,9.7,5.6,28532,20656
Macomb,MI,2,East,480,717400,Large,28.2,12.3,705,1202,41048,76.9,13.5,4,9.4,20924,15011
Monroe,NY,1,East,659,713968,Large,29,12.5,2438,3077,43780,80.1,26.3,7.7,4.4,21641,15451
Worcester,MA,1,East,1513,709705,Large,29.2,13.7,1902,2205,7099,77.4,22.2,6.3,10.2,19895,14120
Baltimore,MD,3,East,599,692134,Large,27.8,14,1269,641,46789,78.4,25,3.8,5.7,23470,16244
Montgomery,PA,1,East,483,678111,Large,26.1,15,3237,2425,20335,83.8,32.1,2.2,5,28462,19300
Orange,FL,3,East,908,677491,Large,33.2,10.6,1367,2929,52577,78.8,21.2,7.8,6.6,17879,12113
Duval,FL,3,East,774,672971,Large,30.7,10.7,1538,2623,68586,76.9,18.4,9.8,6.6,17662,11886
Middlesex,NJ,1,East,311,671780,Large,31.6,11.8,1637,1880,30548,79.4,26.5,3.4,5.7,24896,16725
Essex,MA,1,East,498,670080,Large,27.3,14.1,1185,2009,34312,80.2,25.9,7.5,9,22834,15301
Ventura,CA,4,West,1846,669016,Large,28.8,9.4,1168,1372,30235,79.4,23,5,7,21420,14330
Fresno,CA,4,West,5963,667490,Large,28.3,10.4,1188,1681,62004,66.2,16.9,16.8,12.6,16365,10923
Pima,AZ,4,West,9187,666880,Large,28.9,13.7,1841,2016,57051,80.5,23.3,12,3.9,15191,10131
Jefferson,KY,3,East,385,664937,Large,27,13.4,2171,3559,32419,74.1,19.3,10.9,6.3,19140,12727
Suffolk,MA,1,East,59,663906,Large,39.2,12.1,5674,6154,68808,75.4,27.7,14.4,8.7,23150,15369
Jefferson,AL,3,East,1113,651525,Large,26.7,14,2532,4602,55604,73.8,19.9,12.7,5.3,18624,12134
San_Mateo,CA,4,West,449,649623,Large,28.4,12.3,1814,1642,30473,84.1,31.3,4.3,4.2,28819,18721
Fulton,GA,3,East,529,648951,Large,31.6,10,3368,5757,93025,77.8,31.6,15.4,5.3,22819,14808
Jackson,MO,2,East,605,633232,Large,28.1,13.1,1695,3762,61760,79.5,20,9.8,6.5,18611,11785
Norfolk,MA,1,East,400,616087,Large,28.8,14.1,2758,1903,14830,88,34.4,3.1,7.5,26909,16578
District_of_Columbia,DC,3,East,61,606900,Large,33.6,12.8,3674,4262,64393,73.1,33.3,13.3,7.7,23603,14325
Oklahoma,OK,3,West,709,599611,Large,28.4,12.1,1922,3487,57045,79.1,22.6,11.3,6,17741,10638
Providence,RI,1,East,413,596270,Large,29.9,15.8,1862,2360,34627,67,18.3,8.9,9,17866,10653
El_Paso,TX,3,West,1013,591610,Large,29.5,8.1,795,1650,54002,63.7,15.2,22.4,10.8,11545,6830
Pierce,WA,4,West,1676,586203,Large,29.5,10.5,915,1226,41980,83.2,17.5,8.7,6.4,16194,9493
Multnomah,OR,4,West,435,583887,Large,28.4,13.6,2571,3009,58216,82.9,23.7,8.9,5.1,19215,11219
Travis,TX,3,West,989,576407,Large,38,7.3,1254,1392,60961,83.4,34.7,10.2,4.8,18340,10571
Montgomery,OH,2,East,462,573809,Large,28.1,12.6,1313,3068,36665,77.8,20,9.8,5.7,18410,10564
Monmouth,NJ,1,East,472,553124,Large,25.6,12.7,1300,1904,22302,82.8,28.4,3.4,5.8,27391,15151
Hudson,NJ,1,East,47,553099,Large,31.5,12.7,1036,2443,40581,64.1,19.7,12.4,9,18463,10212
Delaware,PA,1,East,184,547651,Large,27.6,15.5,1374,1588,18924,81.4,24.8,5,5.3,23658,12956
De_Kalb,GA,3,East,268,545837,Large,32.6,8.5,1036,922,56950,83.9,32.7,7.2,4.4,21005,11465
Kern,CA,4,West,8142,543477,Large,28.3,9.7,682,1194,36318,67.6,13.3,13.7,11.8,15881,8631
Bucks,PA,1,East,608,541174,Large,26.6,10.9,879,1435,16894,82.9,24.8,2.9,6.7,22548,12202
Lake,IL,2,East,448,516418,Large,28.9,8.4,1093,1499,22349,84.7,32,3.7,4.6,27378,14138
Summit,OH,2,East,413,514990,Large,26.8,13.8,1216,2226,26228,78.3,19.7,9.5,6,18583,9570
Mecklenburg,NC,3,East,527,511433,Large,32,9.4,1114,2021,57999,81.6,28.3,7.2,4.8,20942,10710
Davidson,TN,3,East,502,510784,Large,32.1,11.6,2293,3847,45237,75.9,24.4,10,4.6,19505,9963
Bristol,MA,1,East,556,506325,Large,27.6,14.4,572,1306,22023,65,15.9,7.4,12.3,18521,9378
Tulsa,OK,3,West,570,503341,Large,28.2,11.5,1158,2512,39496,81.7,23.7,10,6.1,19295,9712
Camden,NJ,1,East,222,502824,Large,27.5,12.2,1255,2041,34814,75.5,21,8,6.9,19930,10021
Kent,MI,2,East,856,500631,Large,29.6,10.8,1007,1460,31553,80.3,20.7,6.9,7.5,18674,9349
Orleans,LA,3,East,181,496938,Large,28.3,13,2500,4018,54238,68.1,22.4,27.3,6.1,16578,8238
Union,NJ,1,East,103,493819,Large,26.8,15,1362,2541,30299,75.2,25,5.3,6.9,26248,12962
Ramsey,MN,2,East,156,485765,Large,31,12.2,1512,1140,30574,85,28.8,8.1,4.3,20303,9862
San_Joaquin,CA,4,West,1399,480628,Large,27.7,11.1,666,1051,41179,68.6,13.2,12,12,15453,7427
Bernalillo,NM,4,West,1166,480577,Large,29.2,10.5,1585,1726,41280,82.1,26.7,10.9,5.2,17518,8419
Lake,IN,2,East,497,475594,Large,25.5,12.3,707,2413,29926,73.5,12.8,11.7,7.1,16327,7765
Onondaga,NY,1,East,780,468973,Large,29.4,13,1534,1668,23249,80.7,24.4,7.1,5.6,19401,9099
Denver,CO,4,West,153,467610,Large,30.3,13.8,2867,3652,37466,79.2,29,13.1,5.4,22156,10360
Snohomish,WA,4,West,2090,465642,Large,28.1,9.5,502,672,20323,85.7,19.3,4.9,5.6,18545,8635
Lucas,OH,2,East,340,462361,Large,27.8,13,1391,3021,38194,76.2,17,12,8.8,17815,8237
Hampden,MA,1,East,619,456310,Large,27.8,14.8,904,1665,24247,73.6,17.6,10.9,9.6,19073,8703
Passaic,NJ,1,East,185,453060,Large,28.9,12.9,831,1912,26434,68.8,18.7,7.6,8.1,21973,9955
Jefferson,LA,3,East,306,448306,Large,28.1,10.2,1237,1648,41625,76,18.8,11.4,5.6,17101,7666
Cobb,GA,3,East,340,447745,Large,31.7,6.3,622,983,27582,85.8,33,3.8,4.1,21933,9820
New_Castle,DE,1,East,426,441946,Large,30.6,11.4,1038,1488,27717,80.6,25.2,5,6.2,22284,9848
Jefferson,CO,4,West,772,438430,Large,26.9,8,551,298,23453,89.8,30.7,4.1,4.1,20997,9206
Plymouth,MA,1,East,661,435276,Large,27.1,11.6,576,813,14846,83.8,22.2,5.3,10.4,21500,9358
Ocean,NJ,1,East,636,433203,Large,22.4,23.2,513,1475,17379,74.9,15.3,4.3,7.4,20974,9086
Genesee,MI,2,East,640,430459,Large,27.2,10.2,692,1830,33136,76.8,12.8,14,12.6,16829,7244
Anne_Arundel,MD,3,East,416,427239,Large,29.6,8.8,616,617,21826,81.1,24.6,3,5,22797,9740
Wake,NC,3,East,834,423380,Large,34.5,7.8,761,1199,26006,85.4,35.3,5.5,3.5,20658,8746
Lancaster,PA,1,East,949,422822,Large,27.2,13.1,574,1241,13086,70.5,16.7,5.3,5.3,18878,7982
Morris,NJ,1,East,469,421353,Large,26.7,10.6,1147,1599,12147,87,36.7,1.8,5.1,31520,13281
Douglas,NE,2,West,331,416444,Large,29,11.4,1603,2889,26006,84.5,24.9,8.1,2.9,19629,8174
Polk,FL,3,East,1875,405382,Large,23.9,18.6,559,1288,37290,68,12.9,9.4,10.1,14835,6014
Sedgwick,KS,2,West,1000,403662,Large,28.5,11.4,930,1840,34071,82.4,22.2,8.3,4.5,19276,7781
Brevard,FL,3,East,1019,398978,Large,26.2,16.6,563,1085,23686,82.3,20.4,6.3,7.1,17668,7049
El_Paso,CO,4,West,2127,397014,Large,31.7,8,548,1026,25234,88.3,25.8,8.1,6.1,16807,6673
St._Louis_City,MO,2,West,62,396685,Large,28.7,16.6,4189,7814,64103,62.8,15.3,20.6,9,18113,7185
Burlington,NJ,1,East,805,395066,Large,28.8,10.7,719,1150,13034,81.9,23.6,3.1,5.6,23008,9090
VA_Beach_City,VA,3,East,248,393069,Large,35.3,5.9,679,530,23412,88,25.5,4.3,5.4,17697,6956
Arapahoe,CO,4,West,803,391511,Large,28.3,7.4,583,742,27587,91.5,35.2,4.4,3.9,22507,8812
Sonoma,CA,4,West,1576,388222,Large,25.8,13.4,840,798,18556,84.4,24.5,5.2,5.7,22055,8562
Hidalgo,TX,3,West,1569,383545,Large,26.4,10.1,311,860,26712,46.6,11.5,36.3,17.6,8899,3413
East_Baton_Rouge,LA,3,East,456,380105,Large,31.5,9.2,841,1876,41592,80.5,27.5,15.1,5.4,17881,6797
Mobile,AL,3,East,1233,378643,Large,26.7,11.8,850,1898,30409,70.1,15.5,17.5,7.2,14389,5448
Chester,PA,1,East,756,376396,Large,27.1,10.9,594,920,9491,84.9,34.7,3,4.6,24732,9309
Volusia,FL,3,East,1106,370712,Large,24.3,22.8,495,1349,25736,75.4,14.8,7.9,6.9,15648,5801
Stanislaus,CA,4,West,1495,370522,Large,27.4,10.8,558,1306,25461,68.4,13,11.4,14.3,15238,5646
Westmoreland,PA,1,East,1023,370321,Large,23.3,17.1,522,1306,7445,77.7,15.4,8.6,6.9,17069,6321
Santa_Barbara,CA,4,West,2739,369608,Large,32.8,12.3,875,1031,18313,80,26.6,7.4,6,21902,8095
Stark,OH,2,East,576,367585,Large,24.9,14.4,595,1537,17466,76,14.3,8.9,6.9,16898,6211
Dane,WI,2,East,1202,367085,Large,35.6,9.3,1603,1382,20344,88.9,34.2,4.8,3.1,20087,7374
Spokane,WA,4,West,1764,361364,Large,27,13.2,852,1346,20042,84.4,20.6,9.8,6.2,16365,5914
Will,IL,2,East,837,357313,Large,27.4,8.6,298,746,16432,80.4,18,4.5,7.4,18787,6713
Monterey,CA,4,West,3322,355660,Large,32.6,9.8,515,602,17870,72.9,21.5,8.5,10.9,19465,6923
Johnson,KS,2,West,477,355054,Large,27.5,9.4,1173,925,15238,92.9,40.5,2.5,3.3,26156,9287
Gwinnett,GA,3,East,433,352910,Large,32.6,4.7,271,439,17119,86.7,29.6,2.9,4,19861,7009
Pulaski,AR,3,West,771,349660,Medium,28.5,11.5,1510,2785,42404,79,23.5,10.5,5.8,18225,6373
Guilford,NC,3,East,650,347420,Medium,30.4,11.9,676,1188,28212,76.1,24.8,7.3,5.4,20349,7070
Solano,CA,4,West,828,340421,Medium,29.7,8.2,481,503,21756,82.7,18.7,6,7,17268,5878
York,PA,1,East,905,339574,Medium,26.6,13.1,460,951,11292,72.8,13.9,4.3,6.2,19502,6622
Berks,PA,1,East,859,336523,Medium,26.1,15.6,567,1041,12827,70,15.1,5.2,6.7,19655,6614
Hillsborough,NH,1,East,877,336073,Medium,30,10.3,587,1050,12843,82.2,26.4,4,7.5,22581,7589
Knox,TN,3,East,509,335749,Medium,30,12.7,984,2178,22422,74.6,23.9,10.2,4.6,17382,5836
Lee,FL,3,East,804,335113,Medium,21.5,24.7,509,1202,18442,76.9,16.4,6.1,6.4,18877,6326
Luzerne,PA,1,East,891,328149,Medium,24.1,19.7,594,1495,4982,72,13.1,8.3,8.8,16405,5383
Mercer,NJ,1,East,226,325824,Medium,29.2,13,994,1724,20153,77.1,29.5,5.3,5.5,26026,8480
Greenville,SC,3,East,792,320167,Medium,28.2,11.9,650,1358,20504,71.6,21,7.8,4.9,17874,5723
Kane,IL,2,East,521,317471,Medium,27.8,9.3,473,1263,16721,77.7,21.4,5,7.5,21684,6884
Tulare,CA,4,West,4824,311921,Medium,26.3,10.8,358,656,19489,60.2,11.8,18,17.1,14710,4588
Washington,OR,4,West,724,311554,Medium,27.6,10.1,353,294,12630,88.2,29.8,4.8,4.4,19932,6210
Orange,NY,1,East,816,307647,Medium,28,10.4,479,986,10975,77.2,19.5,6.4,6.7,19788,6088
Waukesha,WI,2,East,556,304715,Medium,24.4,9.8,687,677,8935,88,27.1,2.2,4.1,23004,7010
Allen,IN,2,East,657,300836,Medium,27.4,11.4,552,1268,19842,81.2,19,5.6,5.9,19123,5753
Charleston,SC,3,East,917,295039,Medium,34.1,10.1,1357,1956,28190,75.5,22.4,13.8,4.9,16015,4725
Albany,NY,1,East,524,292594,Medium,30.4,14.7,1257,1246,15077,80.9,28.3,6,4.5,21003,6145
Butler,OH,2,East,467,291479,Medium,29.9,10.2,308,878,13850,76,18.7,7.6,6.6,16750,4882
Nueces,TX,3,West,836,291145,Medium,27.3,10.1,584,1406,28606,68.9,17,17.2,7.7,15124,4403
Lehigh,PA,1,East,347,291130,Medium,26.3,15.4,637,1305,12254,74.6,19.6,4.9,6.6,19785,5760
Seminole,FL,3,East,308,287529,Medium,27.9,10.3,357,352,17518,84.6,26.3,5.3,6.1,17885,5142
Richland,SC,3,East,757,285720,Medium,34.7,9.5,999,1207,24101,79.4,28,10.1,4.6,17137,4896
Hamilton,TN,3,East,543,285536,Medium,26.3,13.5,738,1573,23532,72.5,19.7,10.2,5.9,18242,5209
Washtenaw,MI,2,East,710,282937,Medium,39.5,7.5,2188,1730,19367,87.2,41.9,6.4,6,22782,6446
Lane,OR,4,West,4554,282912,Medium,27.4,13.1,497,654,16091,83,22.2,9.4,6.5,15701,4442
Ingham,MI,2,East,559,281912,Medium,37.4,8.7,729,1438,17337,83.9,29.2,11,6.9,17458,4922
Pasco,FL,3,East,745,281131,Medium,18.4,32.3,308,941,12509,66.9,9.1,7.9,8.3,13944,3920
Clackamas,OR,4,West,1868,278850,Medium,23.1,11.5,462,345,12855,85.7,23.6,4.7,4.2,19942,5561
Sarasota,FL,3,East,572,277776,Medium,18.2,32.1,631,1363,19801,81.3,21.9,4.6,5.1,24948,6930
Erie,PA,1,East,802,275572,Medium,27.5,13.8,468,1417,9936,77.5,16.2,9.5,7.1,16331,4500
Dakota,MN,2,West,570,275227,Medium,30.6,6.4,201,283,10953,90.7,27.6,3.3,4.7,21123,5814
Cumberland,NC,3,East,653,274566,Medium,37.4,6.2,291,586,25247,80.3,16.6,12.1,6.4,12923,3548
Denton,TX,3,West,889,273525,Medium,36.9,5,216,458,20372,86.8,32.3,4.5,5.6,17801,4869
Lorain,OH,2,East,493,271126,Medium,26.4,11.6,291,941,9864,75.3,12.3,9.1,9.5,16006,4340
Forsyth,NC,3,East,410,265878,Medium,29.2,12.3,1194,1609,21554,77.6,24.1,7.8,4.4,20645,5489
Rockland,NY,1,East,174,265475,Medium,25.5,10.1,931,745,7194,83.3,33,4.1,5.3,26757,7103
Adams,CO,4,West,1192,265038,Medium,29.6,7.6,439,318,19369,78.8,13,8.8,5,16116,4271
Mahoning,OH,2,East,415,264806,Medium,23.5,17.1,601,1473,13181,74.6,14,12.8,6.7,16256,4305
Collin,TX,3,West,848,264036,Medium,29.8,5.3,282,571,17625,88.3,39.1,3.9,5.9,22303,5889
Utah,UT,4,West,1998,263590,Medium,33.9,7,291,544,10605,87.9,26.2,10.6,4.3,11467,3023
St._Clair,IL,2,East,664,262852,Medium,26.8,12.7,329,1088,14563,72.6,14.7,13.9,8.4,16190,4256
Escambia,FL,3,East,664,262798,Medium,29.2,11.9,522,1584,14380,76.2,18.2,13.3,5.8,15392,4045
Norfolk_City,VA,3,East,54,261229,Medium,41.7,10.5,1101,1471,25194,72.7,16.8,15.1,6.4,16412,4287
Cameron,TX,3,West,906,260120,Medium,25.9,10.6,270,825,18842,50,12,33.7,12.5,9728,2530
Dutchess,NY,1,East,802,259462,Medium,29,11.4,535,741,9087,79.8,24.8,3.6,5.1,22173,5753
New_London,CT,1,East,666,254957,Medium,31.2,11.9,486,515,7807,80.9,21.8,4.7,6.8,20259,5165
Washoe,NV,4,West,6343,254667,Medium,29.5,10.3,603,990,18831,82.5,20.7,6.3,5,21327,5431
Hinds,MS,3,East,869,254441,Medium,29.5,11.2,1076,2118,28841,75.2,26.4,16.7,6.3,16215,4126
Winnebago,IL,2,East,514,252913,Medium,26.5,12.7,521,910,19674,76.3,16.7,7.7,7.9,18376,4648
Oneida,NY,1,East,1213,250836,Medium,27.7,15.5,437,905,9234,75.1,16.7,8.8,6.7,16477,4133
Madison,IL,2,East,725,249238,Medium,26.2,13.9,275,1120,10666,75.8,14.4,8.5,7.9,17980,4481
Caddo,LA,3,West,882,248253,Medium,25.2,13.3,898,1868,22091,73.4,18.2,19.1,7.1,16337,4056
Northampton,PA,1,East,374,247105,Medium,26.9,15,459,933,6452,73.1,16.7,4.9,6.8,18336,4531
St._Joseph,IN,2,East,457,247052,Medium,28.2,14.1,417,927,10637,76.1,19.2,7.1,5.7,17211,4252
Rockingham,NH,1,East,695,245845,Medium,29,9.2,343,514,7295,86.2,25.9,3.2,8,21770,5352
Cumberland,ME,1,East,836,243135,Medium,29.1,13,732,1104,13816,85,27.6,5.7,5.7,21362,5194
Somerset,NJ,1,East,305,240279,Medium,28.6,10.8,783,374,8308,86.3,38.3,1.4,4.1,33180,7972
Jefferson,TX,3,West,904,239397,Medium,25.8,14,449,1724,21677,74.4,15.5,15.5,6.7,17418,4170
Madison,AL,3,East,805,238912,Medium,31.4,8.9,399,933,6635,80.2,30.1,8.4,5.2,18990,4537
Clark,WA,4,West,628,238053,Medium,25.3,10.6,256,299,10706,83.9,16.8,7,6.6,16790,3997
Dauphin,PA,1,East,525,237813,Medium,26.8,14.3,824,1425,11563,77.6,18.6,7.2,5.5,18348,4363
Marin,CA,4,West,520,230096,Medium,24.7,12.3,1001,488,9460,91.9,44,3,4,37541,8638
Gloucester,NJ,1,East,325,230082,Medium,28,10.8,199,339,9746,77.5,18.1,4.7,7.1,18523,4262
Santa_Cruz,CA,4,West,446,229734,Medium,29.9,11.3,429,390,13707,81.9,29.7,6.2,8,22025,5060
Marion,OR,4,West,1185,228483,Medium,25.7,14.3,376,498,14825,78.7,17.5,9.4,5.7,16022,3661
Trumbull,OH,2,East,616,227813,Medium,23.9,14.4,225,925,7315,75.2,11.4,9.4,7.9,16144,3678
Spartanburg,SC,3,East,811,226800,Medium,27,12.6,375,832,17198,63,14.3,8.8,5.5,15776,3578
Fort_Bend,TX,3,West,875,225421,Medium,26.8,4.9,231,301,9433,80.9,30.2,6.9,3.8,18301,4125
Fayette,KY,3,East,285,225366,Medium,34.9,9.9,1248,1851,17378,80.2,30.6,10.2,3.8,19320,4354
Boulder,CO,4,West,743,225339,Medium,34.2,7.6,452,387,14124,91.3,42.1,5.6,3.5,21421,4827
Atlantic,NJ,1,East,561,224327,Medium,29,14.5,379,990,25167,72.9,16.4,6.4,8.3,24035,5392
Kalamazoo,MI,2,East,562,223411,Medium,32.4,10.6,614,793,15306,83.4,27.1,8.9,5.9,18288,4086
Lubbock,TX,3,West,900,222636,Medium,34.1,9.8,655,1562,14509,74.2,23.4,13.2,5.6,15443,3438
Niagara,NY,1,East,523,220756,Medium,25.8,15.1,239,893,9437,75.8,13.6,8.6,8.3,16647,3675
Lackawanna,PA,1,East,459,219039,Medium,24.3,19.8,429,1136,4368,73.3,14.8,7.8,7.9,16963,3716
Galveston,TX,3,West,399,217399,Medium,26.9,10.5,950,1592,18586,75.8,19.3,12.5,7,17744,3858
San_Luis_Obispo,CA,4,West,3305,217162,Medium,31.4,14.1,424,522,8103,83.3,22.9,6.8,5.8,17221,3740
Chatham,GA,3,East,440,216935,Medium,28.5,12.8,494,1112,18732,73.7,18.6,13.6,4.3,17776,3856
Prince_William_County,VA,3,East,338,215686,Medium,32.3,3,196,153,9001,87.8,27.6,2.3,4.3,20543,4431
Lake,OH,2,East,228,215499,Medium,26.4,12,233,359,5481,81.1,17.5,3.6,5.7,19692,4244
Lancaster,NE,2,West,839,213641,Medium,33.9,10.8,389,778,16414,88.1,27.6,6,2.2,17816,3806
St._Charles,MO,2,West,561,212907,Medium,29,6.9,172,613,7785,83.3,21.2,3.5,6.4,18753,3993
Broome,NY,1,East,707,212160,Medium,28.6,15,460,816,7435,78.9,20.7,6.5,5.9,18058,3831
Saginaw,MI,2,East,809,211946,Medium,25.5,12,335,1193,16190,74.8,13,14.7,8.8,16904,3583
Manatee,FL,3,East,741,211707,Medium,21,28.1,322,855,16916,75.6,15.5,6.8,5.8,17997,3810
Montgomery,AL,3,East,790,209085,Medium,28.4,11.6,419,1102,17388,75.3,24.2,14.1,5.9,17469,3653
Greene,MO,2,West,675,207949,Medium,31,13.3,490,1785,13551,78.9,20.7,9.2,4.8,16630,3458
Kanawha,WV,3,East,903,207619,Medium,23.9,15.7,569,1342,10246,72.4,17.6,12.3,7.5,17192,3569
Ada,ID,4,West,1055,205775,Medium,27.6,10.4,367,557,9701,87.2,24.9,6.2,4.1,18786,3866
Washington,PA,1,East,857,204584,Medium,23.7,17.5,236,687,4526,73.2,13.6,9.7,7,16625,3401
St._Louis,MN,2,East,6226,198213,Medium,24.3,16.9,406,1391,7518,80.3,17.3,9.7,6.5,15419,3056
Cumberland,PA,1,East,550,195257,Medium,28.6,13.4,375,733,5247,81,22.9,2.8,4.6,19254,3759
