Brand,Name,Oz/pkg,Calories,Total fat g,Saturated fat g,Cholesterol g,Sodium mg,Carbohydrate g,Dietary fiber g,Sugars g,Protein g,Vitamin A %RDI,Vitamin C %RDI,Calcium %RDI,Iron %RDI
Hershey,Symphony (Blue),1.5,240,15,8,10,60,22,1,19,4,0,0,8,2
Hershey,KitKat,2.8,410,22,15,10,65,48,1,33,5,0,0,10,2
Leaf,Whoppers,1.75,230,10,8,0,130,36,1,28,2,0,0,8,2
Hershey,5th Avenue,2,280,12,5,2,95,38,1,26,5,0,0,4,4
Tootsie,Charleston Chew,1.875,230,7,6,0,50,40,1,30,2,0,0,4,2
Hershey,Kisses Almond,6,210,13,7,5,25,19,1,17,4,0,0,8,4
Hershey,Mound,1.9,250,13,11,0,80,31,3,21,2,0,0,0,6
Weider,Tiger Sport,1.2,125,2,0.5,0,55,21,2,11,6,6,50,20,15
Standard,Peanut Butter GooGoo,1.74,262,16,5,0,164,24,0,19,7,0,0,2,4
Hershey,Cadbury Roast Almond,5,220,13,7,10,80,21,1,18,4,0,0,10,2
M&M/Mars,Milky Way Dark,1.77,220,8,4,5,85,36,1,30,1,0,0,2,2
M&M/Mars,M&Ms Almond,1.31,200,11,3.5,5,15,21,2,18,3,0,0,4,2
Nabisco,Planters Original Peanut Bar,1.6,230,14,1.5,0,70,22,2,13,6,0,0,2,4
M&M/Mars,Snickers Munch,1.42,230,15,3.5,10,150,17,2,12,6,2,0,2,2
Hershey,Milk Chocolate,1.55,230,13,9,10,40,25,1,22,3,0,0,8,2
M&M/Mars,Milky Way,2.15,280,11,5,5,90,43,1,37,2,0,0,6,0
Annabelle,Look!,1.5,190,6,4,0,90,33,1,17,2,0,0,0,5
M&M/Mars,M&Ms Plain,1.69,230,10,6,10,35,34,1,31,2,0,0,4,2
Hershey,Cadbury Fruit & Nut,5,210,11,6,5,45,24,1,21,3,0,0,8,2
Annabelle,Abba-Zabba,2,250,5,4,0,85,48,1,23,2,0,0,0,0
Hershey,Kisses,6,210,12,8,10,35,23,1,20,3,0,0,8,2
M&M/Mars,Whatchamacallit,1.7,250,13,10,5,125,29,1,19,4,0,0,4,0
Hershey,Symphony (Red),1.5,230,14,9,10,40,24,0,21,3,0,0,10,2
Hershey,Special Dark,2.6,410,24,15,0,5,44,4,34,4,0,0,2,10
M&M/Mars,M&Ms Peanut Butter,1.63,240,13,8,5,95,27,2,22,5,0,0,4,2
Hershey,Reese's Pieces,1.63,230,10,8,0,75,28,1,24,6,0,0,4,2
Nestle,Chunky,1.4,200,11,6,3,20,22,2,20,3,0,0,6,2
Hershey,Cadbury Caramello,5,190,9,6,10,55,25,0,19,2,0,0,8,2
Hershey,Milk Chocolate Almond,2.6,410,25,12,15,55,38,2,31,8,0,0,15,6
Hershey,Reese's Nutrageous,1.6,240,14,4.5,3,85,22,1,18,7,0,0,2,2
Leaf,Heath,2.8,210,13,7,20,180,25,0,24,2,6,0,4,2
Annabelle,Big Hunk,2,230,3,0.5,0,150,47,1,23,3,0,0,0,6
